,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32
2025-06-11 09:37:50,,,,,,,,,,,,,,,102.8579789741485,,,100.22386649179771,,,,,,102.35695625082383,,,,,99.18087112920018,,,
2025-06-11 09:38:00,,,,,,,,,,,,,,,102.86655466704305,,,100.22544843447189,,,,,,102.35746246321014,,,,,99.18178988031552,,,
2025-06-11 09:38:10,,,,,,,,,,,,,,,102.87515449586178,,,100.22702476992805,,,,,,102.35797165149141,,,,,99.1827155173685,,,
2025-06-11 09:38:20,,,,,,,,,,,,,,,102.88377852147885,,,100.22859551657055,,,,,,102.35848382882011,,,,,99.18364807556124,,,
2025-06-11 09:38:30,,,,,,,,,,,,,,,102.89242680485975,,,100.2301606927526,,,,,,102.3589990083754,,,,,99.18458759023632,,,
2025-06-11 09:38:40,,,,,,,,,,,,,,,102.90109940707556,,,100.2317203167759,,,,,,102.35951720336372,,,,,99.18553409687817,,,
2025-06-11 09:38:50,,,,,,,,,,,,,,,102.90979638929021,,,100.233274406891,,,,,,102.36003842701861,,,,,99.18648763111362,,,
2025-06-11 09:39:00,,,,,,,,,,,,,,,102.91851781276243,,,100.23482298129798,,,,,,102.3605626926013,,,,,99.187448228712,,,
2025-06-11 09:39:10,,,,,,,,,,,,,,,102.92726373885108,,,100.2363660581456,,,,,,102.3610900134005,,,,,99.188415925586,,,
2025-06-11 09:39:20,,,,,,,,,,,,,,,102.93603422900792,,,100.23790365553297,,,,,99.098710038078,102.36162040273325,,,,,99.18939075779228,,,
2025-06-11 09:39:30,,,,,,,,,,,,,,,102.94482934478016,,,100.23943579150828,,,,,,102.36215387394422,,,,,99.1903727615319,,,
2025-06-11 09:39:40,,,,,,,,,,,,,,,102.95364914781263,,,100.24096248407028,,,,,,102.36269044040682,,,,,99.19136197315085,,,
2025-06-11 09:39:50,,,,,,,,,,,,,,,102.9624936998502,,,100.2424837511679,,,,,,102.36323011552292,,,,,99.19235842914084,,,
